date,time,temperature_2m,temp_f
2026-06-24,2026-06-24T10:15,17.1,62.78
2026-06-24,2026-06-24T11:15,18.1,64.58
2026-06-24,2026-06-24T15:45,19.1,66.38 
2026-06-25,2026-06-25T03:00,9.3,48.74
2026-06-25,2026-06-25T07:00,9.8,49.64
2026-06-25,2026-06-25T09:15,14.9,58.8
2026-06-25,2026-06-25T09:15,14.9,58.8
2026-06-25,2026-06-25T09:30,15.1,59.2
2026-06-25,2026-06-25T09:45,15.4,59.7
2026-06-25,2026-06-25T09:45,15.4,59.7
2026-06-25,2026-06-25T09:45,15.4,59.7
2026-06-25,2026-06-25T13:45,18.8,65.8
2026-06-25,2026-06-25T16:15,17.6,63.7
2026-06-26,2026-06-26T00:00,9.8,49.6
2026-06-26,2026-06-26T00:00,9.8,49.6
2026-06-26,2026-06-26T00:15,9.6,49.3
2026-06-26,2026-06-26T00:15,9.6,49.3
2026-06-26,2026-06-26T00:15,9.6,49.3
2026-06-26,2026-06-26T03:15,7.4,45.3
2026-06-26,2026-06-26T07:00,9.0,48.2
2026-06-26,2026-06-26T11:15,12.3,54.1
2026-06-26,2026-06-26T15:45,9.8,49.6
2026-06-27,2026-06-27T02:15,4.3,39.7
2026-06-27,2026-06-27T06:00,3.8,38.8
2026-06-27,2026-06-27T10:45,8.6,47.5
2026-06-27,2026-06-27T15:45,10.3,50.5
2026-06-28,2026-06-28T02:45,2.4,36.3
2026-06-28,2026-06-28T06:15,1.0,33.8
2026-06-28,2026-06-28T10:45,8.6,47.5
2026-06-28,2026-06-28T15:45,10.7,51.3
2026-06-29,2026-06-29T04:45,3.2,37.8
2026-06-29,2026-06-29T08:30,7.4,45.3
2026-06-29,2026-06-29T11:45,10.9,51.6
2026-06-29,2026-06-29T15:45,11.2,52.2
2026-06-30,2026-06-30T03:15,5.8,42.4
2026-06-30,2026-06-30T06:45,5.9,42.6
2026-06-30,2026-06-30T11:15,12.9,55.2
2026-06-30,2026-06-30T16:00,13.8,56.8
2026-07-01,2026-07-01T03:30,5.4,41.7
2026-07-01,2026-07-01T07:00,6.0,42.8
2026-07-01,2026-07-01T11:45,14.1,57.4
2026-07-01,2026-07-01T16:00,14.3,57.7
2026-07-02,2026-07-02T02:45,7.2,45.0
2026-07-02,2026-07-02T06:30,6.9,44.4
2026-07-02,2026-07-02T11:15,16.0,60.8
2026-07-02,2026-07-02T15:45,16.0,60.8
2026-07-03,2026-07-03T02:45,9.5,49.1
2026-07-03,2026-07-03T06:30,9.5,49.1
2026-07-03,2026-07-03T11:00,17.9,64.2
2026-07-03,2026-07-03T15:45,17.9,64.2
2026-07-04,2026-07-04T02:00,9.9,49.8
2026-07-04,2026-07-04T06:00,10.0,50.0
2026-07-04,2026-07-04T10:45,19.0,66.2
2026-07-04,2026-07-04T15:45,19.5,67.1
2026-07-05,2026-07-05T02:30,10.7,51.3
2026-07-05,2026-07-05T06:00,9.7,49.5
2026-07-05,2026-07-05T10:45,16.0,60.8
2026-07-05,2026-07-05T15:45,14.9,58.8
2026-07-06,2026-07-06T04:15,9.0,48.2
2026-07-06,2026-07-06T08:00,12.8,55.0
2026-07-06,2026-07-06T11:45,18.0,64.4
2026-07-06,2026-07-06T15:45,19.1,66.4
