date,max_temp,min_temp
2021-08-01,20.2,7.1
2021-08-02,22.1,6.6
2021-08-03,23.6,7.2
2021-08-04,23.3,9.3
2021-08-05,20.0,8.3
2021-08-06,22.0,4.9
2021-08-07,22.6,5.4
2021-08-08,21.9,7.4
2021-08-09,22.7,7.4
2021-08-10,24.5,6.9
2021-08-11,24.7,7.2
2021-08-12,25.6,7.7
2021-08-13,23.9,8.8
2021-08-14,25.4,9.3
2022-08-01,17.1,10.5
2022-08-02,18.9,8.6
2022-08-03,21.0,8.2
2022-08-04,20.1,8.6
2022-08-05,13.1,9.4
2022-08-06,19.6,4.8
2022-08-07,21.3,7.6
2022-08-08,18.3,8.8
2022-08-09,18.5,9.5
2022-08-10,18.8,6.9
2022-08-11,20.2,7.1
2022-08-12,20.9,7.6
2022-08-13,21.7,8.3
2022-08-14,22.1,7.6
2023-08-01,21.3,10.9
2023-08-02,20.0,8.5
2023-08-03,19.2,6.5
2023-08-04,20.4,5.1
2023-08-05,20.3,4.5
2023-08-06,22.4,6.0
2023-08-07,21.9,7.2
2023-08-08,20.9,7.1
2023-08-09,20.2,6.0
2023-08-10,19.9,7.0
2023-08-11,17.8,6.9
2023-08-12,20.6,5.5
2023-08-13,21.3,8.3
2023-08-14,18.9,8.5
2024-08-01,24.6,10.1
2024-08-02,22.6,11.8
2024-08-03,19.7,9.7
2024-08-04,22.6,7.8
2024-08-05,23.3,9.9
2024-08-06,24.5,10.8
2024-08-07,24.4,11.2
2024-08-08,24.4,11.7
2024-08-09,24.0,10.0
2024-08-10,23.8,11.5
2024-08-11,23.0,11.3
2024-08-12,19.4,9.1
2024-08-13,18.8,5.8
2024-08-14,19.7,6.7
2025-08-01,19.4,3.6
2025-08-02,20.1,3.8
2025-08-03,19.9,5.9
2025-08-04,18.3,5.5
2025-08-05,19.9,5.1
2025-08-06,21.1,6.1
2025-08-07,21.4,7.1
2025-08-08,22.7,6.1
2025-08-09,23.3,7.1
2025-08-10,23.8,8.4
2025-08-11,25.5,8.8
2025-08-12,24.5,9.6
2025-08-13,23.3,10.6
2025-08-14,21.5,9.0
